 58  1  1 80 94 56 27 18 22 56 27257.0
 58  1  2 32 32 27 27 22  9  9  6263.0
 58  1  3  7  4  2  6  4  4  3  3262.0
 58  1  4  3  3  2  4  3  2  3  7261.0
 58  1  5 15  9  5  5  7  6  3  2246.0
 58  1  6  4  6  7  7 12  9  5  6254.0
 58  1  7  7  7  6  6 12  4  5  4255.0
 58  1  8  5  4  7  7  7  7  3  2255.0
 58  1  9  6  5  5 12 18 15 18 18259.0
 58  1 10 27  7  6  9 12  7  6  4274.0
 58  1 11 18  9  5 15  9 15 18  9273.0
 58  1 12 15 22 15 12 15 12  9  9290.0
 58  1 13 18 22 12  6  9 12 27 18310.0
 58  1 14  6  4 15 18 12 15 12 39321.0
 58  1 15  7 15 22 15 22 15 15 12309.0
 58  1 16  4  9 12 15 12 15 18 22297.0
 58  1 17 12 22 22 22 22 22 22 32285.0
 58  1 18 32 32 48 39 32 22 22  9260.0
 58  1 19  9 12  9  9 22 12 12  7238.0
 58  1 20  7  5 12 22 18 18 22 56251.0
 58  1 21 67111 22 27 12  9 12  7239.0
 58  1 22 12 15 27 27 39  9 15  9227.0
 58  1 23 22 22 18 18 32 18 27 15210.0
 58  1 24  5 12  4 22 27 12  6  5211.0
 58  1 25 15 15 12 27 32 32 12  5206.0
 58  1 26 12 48 22  7  4 12 12 12220.0
 58  1 27  9  7  6  5  3  5  9 22200.0
 58  1 28  5  3 12 15  7  7  5  5189.0
 58  1 29 12 32 18 12  6 12 12  6194.0
 58  1 30  4 15 15  9 12  7  6  4181.0
 58  1 31  7  6  6  9  6  6  9 18187.0
 58  2  1 12  3  9  9 15  5  6 12195.0
 58  2  2 12  9 12 15  9  5  6  2217.0
 58  2  3  3  5  4  5 15  5  7  7222.0
 58  2  4 12  2  4 15 22 18 39 22233.0
 58  2  5 18 32 22 27 39 22 39 39249.0
 58  2  6 27 32 32 32 32 39 15 32252.0
 58  2  7 27 22 27 27 18 27 27 27257.0
 58  2  8 22 39 27 27 22 22 27 27250.0
 58  2  9 27 27  7 12 12 18 27 15234.0
 58  2 10 27 22  6  7  9 48 39 32231.0
 58  2 11400236300236207 56 80 80228.0
 58  2 12 80 67 94 56 27 39 80 32226.0
 58  2 13 22  6 18 22 32 22 15  9222.0
 58  2 14 27 48 27 15 18 32  9  7210.0
 58  2 15  6  4  4  9  9 12  9 12202.0
 58  2 16  9  3  5 18 15 27 18 15187.0
 58  2 17 27 39 27 22 39 27 39 27183.0
 58  2 18 27 48 32 32 27 18 48 22177.0
 58  2 19 32 22 39 22 18 15 27 22173.0
 58  2 20 22 27 15 27 27 15 39 39172.0
 58  2 21 18 39 32 22 32 15 39 48175.0
 58  2 22 39 27 22 27 22 15 22 27176.0
 58  2 23 32 27 27 22 15 18 15 12194.0
 58  2 24  9 12  7 12 12  6  6  3206.0
 58  2 25  3  7 12  7  3  3  5  3207.0
 58  2 26  7  7 12  7  5  4  6  5205.0
 58  2 27 12  4  4  4  6  7 18 22197.0
 58  2 28  7  9 18 27 32 12  9  7  0.0
 58  3  1 18  5  4  4  6  4  4  6195.0
 58  3  2  3  7 18 12  6  2  2  5209.0
 58  3  3  4  7  7 18 22 27 48 32223.0
 58  3  4 48 39 27 22 27 18 27 18232.0
 58  3  5 18 27111 48 27 22 22 39233.0
 58  3  6 56 56 27 27 32 27 27 32251.0
 58  3  7 22 56 32 22 22 22 18 18256.0
 58  3  8 48 32 32 18 18  7 12 12251.0
 58  3  9 27 27 22 27 22 15 12  6255.0
 58  3 10 22 27  9 12 18 22 22 12242.0
