0.000000	0.258819	0.000000	0.965926	-0.043633	0.000000	0.250108	
0.011290	0.258573	0.126079	0.957662	-0.042970	0.007577	0.250108	
0.022558	0.257834	0.250000	0.933013	-0.041002	0.014923	0.250108	
0.033783	0.256605	0.369644	0.892399	-0.037787	0.021817	0.250108	
0.044943	0.254887	0.482963	0.836516	-0.033425	0.028047	0.250108	
0.056019	0.252684	0.588018	0.766320	-0.028047	0.033425	0.250108	
0.066987	0.250000	0.683013	0.683013	-0.021817	0.037787	0.250108	
0.077828	0.246840	0.766320	0.588018	-0.014923	0.041002	0.250108	
0.088521	0.243210	0.836516	0.482963	-0.007577	0.042970	0.250108	
0.099046	0.239118	0.892399	0.369644	-0.000000	0.043633	0.250108	
0.109382	0.234570	0.933013	0.250000	0.007577	0.042970	0.250108	
0.119509	0.229575	0.957662	0.126079	0.014923	0.041002	0.250108	
0.129410	0.224144	0.965926	0.000000	0.021817	0.037787	0.250108	
0.139063	0.218286	0.957662	-0.126079	0.028047	0.033425	0.250108	
0.148453	0.212012	0.933013	-0.250000	0.033425	0.028047	0.250108	
0.157559	0.205335	0.892399	-0.369644	0.037787	0.021817	0.250108	
0.166366	0.198267	0.836516	-0.482963	0.041002	0.014923	0.250108	
-0.174856	-0.190821	-0.766320	0.588018	0.042970	0.007577	0.250108	
-0.183013	-0.183013	-0.683013	0.683013	0.043633	0.000000	0.250108	
-0.190821	-0.174856	-0.588018	0.766320	0.042970	-0.007577	0.250108	
-0.198267	-0.166366	-0.482963	0.836516	0.041002	-0.014923	0.250108	
-0.205335	-0.157559	-0.369644	0.892399	0.037787	-0.021817	0.250108	
-0.212012	-0.148453	-0.250000	0.933013	0.033425	-0.028047	0.250108	
-0.218286	-0.139063	-0.126079	0.957662	0.028047	-0.033425	0.250108	
-0.224144	-0.129410	-0.000000	0.965926	0.021817	-0.037787	0.250108	
-0.229575	-0.119509	0.126079	0.957662	0.014923	-0.041002	0.250108	
-0.234570	-0.109382	0.250000	0.933013	0.007577	-0.042970	0.250108	
-0.239118	-0.099046	0.369644	0.892399	0.000000	-0.043633	0.250108	
-0.243210	-0.088521	0.482963	0.836516	-0.007577	-0.042970	0.250108	
-0.246840	-0.077828	0.588018	0.766320	-0.014923	-0.041002	0.250108	
-0.250000	-0.066987	0.683013	0.683013	-0.021817	-0.037787	0.250108	
-0.252684	-0.056019	0.766320	0.588018	-0.028047	-0.033425	0.250108	
-0.254887	-0.044943	0.836516	0.482963	-0.033425	-0.028047	0.250108	
-0.256605	-0.033783	0.892399	0.369644	-0.037787	-0.021817	0.250108	
-0.257834	-0.022558	0.933013	0.250000	-0.041002	-0.014923	0.250108	
-0.258573	-0.011290	0.957662	0.126079	-0.042970	-0.007577	0.250108	
-0.258819	-0.000000	0.965926	0.000000	-0.043633	-0.000000	0.250108	
-0.258573	0.011290	0.957662	-0.126079	-0.042970	0.007577	0.250108	
-0.257834	0.022558	0.933013	-0.250000	-0.041002	0.014923	0.250108	
-0.256605	0.033783	0.892399	-0.369644	-0.037787	0.021817	0.250108	
-0.254887	0.044943	0.836516	-0.482963	-0.033425	0.028047	0.250108	
0.252684	-0.056019	-0.766320	0.588018	-0.028047	0.033425	0.250108	
0.250000	-0.066987	-0.683013	0.683013	-0.021817	0.037787	0.250108	
0.246840	-0.077828	-0.588018	0.766320	-0.014923	0.041002	0.250108	
0.243210	-0.088521	-0.482963	0.836516	-0.007577	0.042970	0.250108	
0.239118	-0.099046	-0.369644	0.892399	-0.000000	0.043633	0.250108	
0.234570	-0.109382	-0.250000	0.933013	0.007577	0.042970	0.250108	
